XH,Pts_D,Pct_D,Avg1_D,Avg2_D,Tot_D,TO_D,Pts_O,Pct_O,Avg1_O,Avg2_O,Tot_O,TO_O,classifyRes,markRes,recomRes,RankScore,Abs,Rel,trueRank,countRecom,tsne,LDA
Texas State,0.4285714285714286,0.7320574162679427,0.5428571428571429,0.5862068965517241,0.4750000000000001,0.375,0.6118598382749325,0.8279069767441866,0.7142857142857142,0.6428571428571429,0.5632911392405062,0.1428571428571429,2,-1,-1,3.31696484,36,,40,0,"[0.8407624272692186, 0.561876136993135]","[0.6415748932805443, 0.3394059887509562]"
Arizona State,0.4358974358974359,0.5598086124401914,0.3428571428571429,0.5517241379310343,0.3687500000000001,0.5833333333333333,0.6954177897574123,0.5860465116279072,0.5357142857142857,0.5952380952380955,0.5632911392405062,0.1428571428571429,1,-1,-1,2.93602055,51,,50,0,"[0.6488513915545175, 0.5187802725425642]","[0.544025237129141, 0.31805522858887464]"
Texas A&M,0.4432234432234433,0.4019138755980862,0.6285714285714287,0.6551724137931035,0.5625,0.125,0.6495956873315364,0.7906976744186046,0.5892857142857142,0.6904761904761906,0.5569620253164557,0.3809523809523809,1,-1,-1,3.00543621,48,,55,0,"[0.7537014085262127, 0.4649135990724662]","[0.5443044197406567, 0.4271107434713705]"
UCLA,0.4432234432234433,0.6650717703349285,0.2857142857142857,0.4137931034482759,0.53125,0.2083333333333333,0.6037735849056604,0.9720930232558144,0.6428571428571429,0.6428571428571429,0.5759493670886074,0.2380952380952381,1,-1,-1,2.72868684,66,,74,0,"[0.9016895336939388, 0.5105411263142758]","[0.4815645279769081, 0.22199629197682977]"
UTEP,0.4432234432234433,0.19138755980861247,0.6857142857142858,0.7931034482758619,0.125,0.375,0.4177897574123989,0.36279069767441857,0.6071428571428571,0.4523809523809525,0.19620253164556947,0.09523809523809527,1,-1,-1,2.75043468,63,,67,0,"[0.8357442416537474, 0.747436816928715]","[0.4805379604140508, 0.25872618888846627]"
Arizona,0.4468864468864469,0.8468899521531106,0.3714285714285714,0.5862068965517241,0.6187500000000001,0.4999999999999999,0.6307277628032344,0.4232558139534886,0.5535714285714286,0.5476190476190478,0.6582278481012657,0.2857142857142858,2,2,-1,3.44327447,28,,27,0,"[0.6062340379869268, 0.6416514313230917]","[0.7097464778704917, 0.3108499478340435]"
Tulane,0.4542124542124542,0.5119617224880383,0.4000000000000001,0.5517241379310343,0.39375,0.6666666666666665,0.1320754716981132,0.3069767441860467,0.5178571428571429,0.33333333333333337,0.28481012658227844,0.6666666666666669,1,1,-1,2.91636518,53,,46,0,"[0.201375496801058, 0.41420648819820777]","[0.5269954676137104, 0.31382695566114116]"
Rice,0.4578754578754579,0.3301435406698565,0.42857142857142855,0.5862068965517241,0.34375,0.3333333333333333,0.4770889487870621,0.4837209302325582,0.4464285714285714,0.5238095238095238,0.3227848101265821,0.09523809523809527,1,-1,-1,2.58685625,73,,76,0,"[0.49600369697504815, 0.507894936589553]","[0.45998013297596485, 0.054778472120918964]"
Kent State,0.4761904761904762,0.4354066985645932,0.5714285714285714,0.6206896551724137,0.48125,0.3333333333333333,0.14285714285714282,0.3488372093023257,0.3392857142857143,0.33333333333333337,0.23417721518987336,0.5714285714285715,1,-1,-1,2.94493496,50,,49,0,"[0.19736995167952257, 0.5668371664511771]","[0.5598098598328787, 0.16066763216080132]"
Notre Dame,0.4835164835164835,0.6028708133971291,0.4000000000000001,0.5517241379310343,0.45,0.4583333333333333,0.5849056603773584,0.5674418604651162,0.5357142857142857,0.6428571428571429,0.6012658227848101,0.6190476190476192,1,1,-1,3.01984374,46,,48,0,"[0.7025995289395451, 0.5815692705622703]","[0.5470167477896272, 0.6887260419092784]"
Appalachian State,0.4908424908424908,0.5933014354066988,0.3428571428571429,0.4827586206896553,0.26875000000000004,0.29166666666666663,0.6388140161725065,0.6558139534883723,0.7321428571428572,0.6904761904761906,0.6075949367088606,0.523809523809524,1,1,-1,2.62840094,69,,77,0,"[0.8108968351480411, 0.40906502993683086]","[0.4342407014984662, 0.8181006107837139]"
San Jose State,0.4908424908424908,0.3779904306220097,0.742857142857143,0.5172413793103448,0.2562500000000001,0.25,0.22102425876010784,0.716279069767442,0.4285714285714286,0.4285714285714287,0.4367088607594936,0.7142857142857145,1,-1,-1,2.77399959,60,,63,0,"[0.38987801489723656, 0.48276987307879776]","[0.4836913415916398, 0.6133013248975401]"
Connecticut,0.5054945054945056,0.5358851674641149,0.4000000000000001,0.4137931034482759,0.3812500000000001,0.25,0.11859838274932614,0.3023255813953489,0.3571428571428571,0.261904761904762,0.9050632911392406,0.7619047619047621,1,1,-1,2.56870102,75,,75,0,"[0.07513353891712161, 0.49462084086741487]","[0.48321307069513825, 0.333307908936035]"
North Texas,0.5054945054945056,0.5693779904306222,0.42857142857142855,0.5172413793103448,0.26875000000000004,0.4583333333333333,0.4339622641509434,0.33023255813953506,0.4642857142857142,0.3571428571428573,0.2215189873417721,0.523809523809524,1,-1,-1,2.80078668,59,,58,0,"[0.2597336073086363, 0.4936484695674076]","[0.5156877130036948, 0.5568765991879779]"
UAB,0.5091575091575091,0.2583732057416268,0.4571428571428573,0.5862068965517241,0.3875,0.375,0.5956873315363882,0.6558139534883723,0.5178571428571429,0.5000000000000001,0.4999999999999999,0.523809523809524,1,-1,-1,2.68349608,68,,71,0,"[0.6448979056965793, 0.3741658890224362]","[0.4351053056412928, 0.4831379416972338]"
Maryland,0.5201465201465202,0.3732057416267943,0.4857142857142858,0.5172413793103448,0.5125,0.4166666666666666,0.4690026954177897,0.3209302325581396,0.4285714285714286,0.4523809523809525,0.2025316455696202,0.4761904761904763,1,1,-1,2.83292186,56,,51,0,"[0.2992103191179998, 0.5498783388101771]","[0.5204436216726898, 0.3178062369134583]"
Rutgers,0.5201465201465202,0.5885167464114833,0.7714285714285715,0.8275862068965517,0.4312500000000001,0.29166666666666663,0.4204851752021563,0.37674418604651183,0.5357142857142857,0.6190476190476192,0.2658227848101265,0.3809523809523809,2,-1,-1,3.55410245,26,,26,0,"[0.32714440257535965, 0.769293706577283]","[0.7036375017967968, 0.5239595771107741]"
