XH,Pts_x,Pct_x,Avg1_x,Avg2_x,Tot_x,TO_x,Pts_y,Pct_y,Avg1_y,Avg2_y,Tot_y,TO_y,classifyRes,markRes,recomRes,RankScore,Abs,Rel,countRecom,tsne,LDA
Duke,0.2124542124542125,0.3875598086124401,0.4571428571428573,0.4482758620689654,0.48124999999999996,0.375,0.5741239892183287,0.43255813953488376,0.6249999999999999,0.4761904761904764,0.48734177215189867,0.23809523809523814,2,-1,-1,0.3729723103746502,85,,0,"[0.5394235612280884, 0.43688806198417296]","[0.496169365027897, 0.20188153987498939]"
Louisville,0.2124542124542125,0.2966507177033492,0.14285714285714285,0.2758620689655171,0.06875000000000009,0.6666666666666665,0.5417789757412399,0.36279069767441857,0.41071428571428564,0.5000000000000001,0.38607594936708844,0.6190476190476192,2,-1,-1,0.25182748187630755,110,,0,"[0.3095763023913055, 0.14491489176519562]","[0.8208845027930636, 0.5767223208307468]"
Ohio State,0.2197802197802198,0.3875598086124401,0.31428571428571433,0.3448275862068965,0.29374999999999996,0.625,0.9083557951482478,0.7441860465116281,0.7857142857142857,0.8571428571428573,0.721518987341772,0.4761904761904763,0,-1,-1,0.6255877426434358,21,,0,"[0.8558639448794539, 0.17764148624372483]","[0.31040847932147586, 0.4446764086928973]"
Michigan,0.2344322344322344,0.5789473684210525,0.1142857142857144,0.2758620689655171,0.15000000000000013,0.0416666666666667,0.26415094339622636,0.48372093023255824,0.5892857142857142,0.45238095238095244,0.2658227848101265,0.7142857142857145,2,-1,-1,0.19753328967779393,121,,0,"[0.0869075607204893, 0.2546053592893719]","[0.735912262911266, 0.7350588944388489]"
Akron,0.26007326007326015,0.39712918660287083,0.3428571428571429,0.4482758620689654,0.4437500000000001,0.5416666666666666,0.30997304582210244,0.2837209302325583,0.49999999999999994,0.38095238095238104,0.4683544303797467,0.7142857142857145,2,-1,-1,0.35526855927672873,92,,0,"[0.22014145455117157, 0.3809594526297994]","[0.5996044035560448, 0.34303956312707856]"
Kansas State,0.26373626373626374,0.6937799043062204,0.3714285714285714,0.5172413793103448,0.375,0.375,0.6657681940700807,0.8232558139534885,0.4285714285714286,0.6666666666666669,0.5253164556962026,0.1428571428571429,2,-1,-1,0.48428811160214025,61,,0,"[0.8790127111567555, 0.5317646534840348]","[0.37179486491853925, 0.3817433754020806]"
Oregon,0.27838827838827845,0.6076555023923446,0.4000000000000001,0.5172413793103448,0.5687500000000001,0.6666666666666665,0.9245283018867924,0.9860465116279071,0.75,0.9285714285714287,0.810126582278481,0.0,1,-1,-1,0.7549614719726939,7,,0,"[0.9736488728342417, 0.34887409735520636]","[0.10894229099676044, 0.11828183378266355]"
Texas,0.28571428571428575,0.5358851674641149,0.31428571428571433,0.24137931034482762,0.3187500000000001,0.41666666666666663,0.27762803234501343,0.48837209302325596,0.4464285714285714,0.3571428571428573,0.22151898734177214,0.5714285714285715,2,-1,-1,0.25038873908157944,111,,0,"[0.1347149142304449, 0.32133672991125833]","[0.7263401492991006, 0.38896126821289156]"
Virginia,0.29670329670329676,0.3588516746411485,0.17142857142857146,0.379310344827586,0.2875000000000001,0.7083333333333333,0.39622641509433965,0.4558139534883721,0.4285714285714286,0.40476190476190477,0.39240506329113917,0.6190476190476192,2,-1,-1,0.3225556868286828,99,,0,"[0.28495133285867835, 0.20829836559234227]","[0.7323620740036484, 0.37440088380503556]"
Air Force,0.30036630036630035,0.3540669856459331,0.31428571428571433,0.5862068965517241,0.3125,0.29166666666666663,0.549865229110512,0.427906976744186,0.5714285714285714,0.4761904761904764,0.4936708860759494,0.2857142857142858,2,-1,-1,0.33361104513490825,96,,0,"[0.5353051499860977, 0.4131110786672182]","[0.6075780993160043, 0.45678053775971617]"
